ISSN,Título,Área de Avaliação,Classificação
1526-5528,INFORMS JOURNAL ON COMPUTING (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
0953-5438,INTERACTING WITH COMPUTERS,CIÊNCIA DA COMPUTAÇÃO,A2
0884-8173,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,A2
0884-8173,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1464-5319,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
0218-4885,"INTERNATIONAL JOURNAL OF UNCERTAINTY, FUZZINESS AND KNOWLEDGE-BASED SYSTEMS",CIÊNCIA DA COMPUTAÇÃO,A2
0969-6016,INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH,CIÊNCIA DA COMPUTAÇÃO,A2
1532-0464,JOURNAL OF BIOMEDICAL INFORMATICS,CIÊNCIA DA COMPUTAÇÃO,A2
1382-6905,JOURNAL OF COMBINATORIAL OPTIMIZATION,CIÊNCIA DA COMPUTAÇÃO,A2
1573-2886,JOURNAL OF COMBINATORIAL OPTIMIZATION (DORDRECHT. ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
0095-8956,JOURNAL OF COMBINATORIAL THEORY. SERIES B (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1546-1955,JOURNAL OF COMPUTATIONAL AND THEORETICAL NANOSCIENCE,CIÊNCIA DA COMPUTAÇÃO,A2
1090-2724,JOURNAL OF COMPUTER AND SYSTEM SCIENCES (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
0022-0000,JOURNAL OF COMPUTER AND SYSTEM SCIENCES (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1017-9909,JOURNAL OF ELECTRONIC IMAGING,CIÊNCIA DA COMPUTAÇÃO,A2
1560-229X,JOURNAL OF ELECTRONIC IMAGING (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
1017-9909,JOURNAL OF ELECTRONIC IMAGING (SPRINGFIELD),CIÊNCIA DA COMPUTAÇÃO,A2
1556-4959,JOURNAL OF FIELD ROBOTICS,CIÊNCIA DA COMPUTAÇÃO,A2
0925-5001,JOURNAL OF GLOBAL OPTIMIZATION,CIÊNCIA DA COMPUTAÇÃO,A2
1573-2916,JOURNAL OF GLOBAL OPTIMIZATION (DORDRECHT. ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
1381-1231,JOURNAL OF HEURISTICS,CIÊNCIA DA COMPUTAÇÃO,A2
1572-9397,JOURNAL OF HEURISTICS (DORDRECHT. ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
0165-5515,JOURNAL OF INFORMATION SCIENCE,CIÊNCIA DA COMPUTAÇÃO,A2
1751-1577,JOURNAL OF INFORMATRICS,CIÊNCIA DA COMPUTAÇÃO,A2
0955-792X,JOURNAL OF LOGIC AND COMPUTATION,CIÊNCIA DA COMPUTAÇÃO,A2
1465-363X,JOURNAL OF LOGIC AND COMPUTATION,CIÊNCIA DA COMPUTAÇÃO,A2
0955-792X,JOURNAL OF LOGIC AND COMPUTATION (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0924-9907,JOURNAL OF MATHEMATICAL IMAGING AND VISION,CIÊNCIA DA COMPUTAÇÃO,A2
1573-7683,JOURNAL OF MATHEMATICAL IMAGING AND VISION (DORDRECHT. ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
1610-2940,JOURNAL OF MOLECULAR MODELING (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1084-8045,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,CIÊNCIA DA COMPUTAÇÃO,A2
1095-8592,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
1943-0620,JOURNAL OF OPTICAL COMMUNICATIONS AND NETWORKING (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0743-7315,JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,CIÊNCIA DA COMPUTAÇÃO,A2
1096-0848,JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,CIÊNCIA DA COMPUTAÇÃO,A2
0743-7315,JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1094-6136,JOURNAL OF SCHEDULING,CIÊNCIA DA COMPUTAÇÃO,A2
0963-8687,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,A2
1047-3203,JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1570-8268,JOURNAL OF WEB SEMANTICS,CIÊNCIA DA COMPUTAÇÃO,A2
1383-469X,JOURNAL ON SPECIAL TOPICS IN MOBILE NETWORKS AND APPLICATIONS,CIÊNCIA DA COMPUTAÇÃO,A2
0219-3116,KNOWLEDGE AND INFORMATION SYSTEMS (ELECTRONIC RESOURCE),CIÊNCIA DA COMPUTAÇÃO,A2
0219-1377,KNOWLEDGE AND INFORMATION SYSTEMS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0169-0965,LANGUAGE AND COGNITIVE PROCESSES (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0895-7177,MATHEMATICAL AND COMPUTER MODELLING,CIÊNCIA DA COMPUTAÇÃO,A2
0378-4754,MATHEMATICS AND COMPUTERS IN SIMULATION (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1526-5471,MATHEMATICS OF OPERATIONS RESEARCH (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
0957-4158,MECHATRONICS (OXFORD),CIÊNCIA DA COMPUTAÇÃO,A2
0026-2714,MICROELECTRONICS AND RELIABILITY,CIÊNCIA DA COMPUTAÇÃO,A2
0026-2692,MICROELECTRONICS JOURNAL,CIÊNCIA DA COMPUTAÇÃO,A2
0959-8324,MICROELECTRONICS JOURNAL,CIÊNCIA DA COMPUTAÇÃO,A2
1572-8153,MOBILE NETWORKS AND APPLICATIONS,CIÊNCIA DA COMPUTAÇÃO,A2
1370-4621,NEURAL PROCESSING LETTERS,CIÊNCIA DA COMPUTAÇÃO,A2
1017-1398,NUMERICAL ALGORITHMS,CIÊNCIA DA COMPUTAÇÃO,A2
0029-599X,NUMERISCHE MATHEMATIK,CIÊNCIA DA COMPUTAÇÃO,A2
0167-6377,OPERATIONS RESEARCH LETTERS,CIÊNCIA DA COMPUTAÇÃO,A2
1862-4472,OPTIMIZATION LETTERS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1055-6788,OPTIMIZATION METHODS & SOFTWARE (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0171-6468,OR-SPEKTRUM,CIÊNCIA DA COMPUTAÇÃO,A2
0167-8191,PARALLEL COMPUTING,CIÊNCIA DA COMPUTAÇÃO,A2
0166-5316,PERFORMANCE EVALUATION,CIÊNCIA DA COMPUTAÇÃO,A2
1617-4909,PERSONAL AND UBIQUITOUS COMPUTING (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1574-1192,PERVASIVE AND MOBILE COMPUTING (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1054-7460,"PRESENCE (CAMBRIDGE, MASS.)",CIÊNCIA DA COMPUTAÇÃO,A2
1042-9832,RANDOM STRUCTURES & ALGORITHMS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0263-5747,ROBOTICA (CAMBRIDGE. PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0736-5845,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,CIÊNCIA DA COMPUTAÇÃO,A2
0167-6423,SCIENCE OF COMPUTER PROGRAMMING (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0895-4801,SIAM JOURNAL ON DISCRETE MATHEMATICS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0923-5965,SIGNAL PROCESSING. IMAGE COMMUNICATION,CIÊNCIA DA COMPUTAÇÃO,A2
1433-7479,SOFT COMPUTING,CIÊNCIA DA COMPUTAÇÃO,A2
1432-7643,SOFT COMPUTING (BERLIN. PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1432-7643,SOFT COMPUTING (HEIDELBERG),CIÊNCIA DA COMPUTAÇÃO,A2
0038-0644,"SOFTWARE, PRACTICE & EXPERIENCE (PRINT)",CIÊNCIA DA COMPUTAÇÃO,A2
1097-024X,SOFTWARE: PRACTICE AND EXPERIENCE,CIÊNCIA DA COMPUTAÇÃO,A2
1935-3812,SWARM INTELLIGENCE,CIÊNCIA DA COMPUTAÇÃO,A2
0736-5853,TELEMATICS AND INFORMATICS,CIÊNCIA DA COMPUTAÇÃO,A2
1530-5627,TELEMEDICINE JOURNAL AND E-HEALTH,CIÊNCIA DA COMPUTAÇÃO,A2
0164-1212,THE JOURNAL OF SYSTEMS AND SOFTWARE,CIÊNCIA DA COMPUTAÇÃO,A2
0178-2789,THE VISUAL COMPUTER,CIÊNCIA DA COMPUTAÇÃO,A2
1432-2315,THE VISUAL COMPUTER (INTERNET),CIÊNCIA DA COMPUTAÇÃO,A2
1066-8888,THE VLDB JOURNAL,CIÊNCIA DA COMPUTAÇÃO,A2
1471-0684,THEORY AND PRACTICE OF LOGIC PROGRAMMING,CIÊNCIA DA COMPUTAÇÃO,A2
1475-3081,THEORY AND PRACTICE OF LOGIC PROGRAMMING (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
1942-4787,WILEY INTERDISCIPLINARY REVIEWS: DATA MINING AND KNOWLEDGE DISCOVERY,CIÊNCIA DA COMPUTAÇÃO,A2
1530-8677,WIRELESS COMMUNICATIONS AND MOBILE COMPUTING,CIÊNCIA DA COMPUTAÇÃO,A2
1022-0038,WIRELESS NETWORKS,CIÊNCIA DA COMPUTAÇÃO,A2
1572-8196,WIRELESS NETWORKS (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
1084-6654,ACM JOURNAL OF EXPERIMENTAL ALGORITHMICS,CIÊNCIA DA COMPUTAÇÃO,B1
1550-4832,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B1
1936-7228,ACM TRANSACTIONS ON ACCESSIBLE COMPUTING (TACCESS),CIÊNCIA DA COMPUTAÇÃO,B1
1549-6325,ACM TRANSACTIONS ON ALGORITHMS,CIÊNCIA DA COMPUTAÇÃO,B1
1544-3566,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,CIÊNCIA DA COMPUTAÇÃO,B1
1556-4665,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B1
1084-4309,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B1
1539-9087,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B1
1533-5399,ACM TRANSACTIONS ON INTERNET TECHNOLOGY,CIÊNCIA DA COMPUTAÇÃO,B1
1556-4681,ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,CIÊNCIA DA COMPUTAÇÃO,B1
1049-3301,ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,CIÊNCIA DA COMPUTAÇÃO,B1
1551-6857,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,CIÊNCIA DA COMPUTAÇÃO,B1
1936-7406,ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B1
1550-4859,ACM TRANSACTIONS ON SENSOR NETWORKS,CIÊNCIA DA COMPUTAÇÃO,B1
1559-1131,ACM TRANSACTIONS ON THE WEB,CIÊNCIA DA COMPUTAÇÃO,B1
0219-5259,ADVANCES IN COMPLEX SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B1
1019-7168,ADVANCES IN COMPUTATIONAL MATHEMATICS,CIÊNCIA DA COMPUTAÇÃO,B1
1582-7445,ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
0951-5666,AI & SOCIETY,CIÊNCIA DA COMPUTAÇÃO,B1
0921-7126,AI COMMUNICATIONS,CIÊNCIA DA COMPUTAÇÃO,B1
1748-7188,ALGORITHMS FOR MOLECULAR BIOLOGY,CIÊNCIA DA COMPUTAÇÃO,B1
1678-2690,ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1
0925-1030,ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING,CIÊNCIA DA COMPUTAÇÃO,B1
1573-1979,ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING (DORDRECHT. ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1
0003-2670,ANALYTICA CHIMICA ACTA (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
0003-4347,ANNALES DES TELECOMMUNICATIONS,CIÊNCIA DA COMPUTAÇÃO,B1
1012-2443,ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,CIÊNCIA DA COMPUTAÇÃO,B1
1432-0622,"APPLICABLE ALGEBRA IN ENGINEERING, COMMUNICATION AND COMPUTING (INTERNET)",CIÊNCIA DA COMPUTAÇÃO,B1
0883-9514,APPLIED ARTIFICIAL INTELLIGENCE,CIÊNCIA DA COMPUTAÇÃO,B1
1869-0327,APPLIED CLINICAL INFORMATICS,CIÊNCIA DA COMPUTAÇÃO,B1
0306-2619,APPLIED ENERGY,CIÊNCIA DA COMPUTAÇÃO,B1
0924-669X,APPLIED INTELLIGENCE (BOSTON),CIÊNCIA DA COMPUTAÇÃO,B1
1573-7497,APPLIED INTELLIGENCE (DORDRECHT. ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1
0095-4616,APPLIED MATHEMATICS & OPTIMIZATION,CIÊNCIA DA COMPUTAÇÃO,B1
1570-5838,APPLIED ONTOLOGY,CIÊNCIA DA COMPUTAÇÃO,B1
1875-8533,APPLIED ONTOLOGY (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1
0381-7032,ARS COMBINATORIA,CIÊNCIA DA COMPUTAÇÃO,B1
0924-8463,ARTIFICIAL INTELLIGENCE AND LAW (DORDRECHT. PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1064-5462,ARTIFICIAL LIFE,CIÊNCIA DA COMPUTAÇÃO,B1
0928-8910,AUTOMATED SOFTWARE ENGINEERING,CIÊNCIA DA COMPUTAÇÃO,B1
0006-3835,BIT NUMERICAL MATHEMATICS,CIÊNCIA DA COMPUTAÇÃO,B1
1863-2653,BRAIN STRUCTURE & FUNCTION (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1463-7154,BUSINESS PROCESS MANAGEMENT JOURNAL,CIÊNCIA DA COMPUTAÇÃO,B1
1176-9351,CANCER INFORMATICS,CIÊNCIA DA COMPUTAÇÃO,B1
1386-7857,CLUSTER COMPUTING,CIÊNCIA DA COMPUTAÇÃO,B1
1435-5558,"COGNITION, TECHNOLOGY & WORK (PRINT)",CIÊNCIA DA COMPUTAÇÃO,B1
1612-4782,COGNITIVE PROCESSING (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1389-0417,COGNITIVE SYSTEMS RESEARCH,CIÊNCIA DA COMPUTAÇÃO,B1
0963-5483,"COMBINATORICS, PROBABILITY & COMPUTING (PRINT)",CIÊNCIA DA COMPUTAÇÃO,B1
0361-0918,COMMUNICATIONS IN STATISTICS. SIMULATION AND COMPUTATION,CIÊNCIA DA COMPUTAÇÃO,B1
1532-4141,"COMMUNICATIONS IN STATISTICS. SIMULATION AND COMPUTATION,",CIÊNCIA DA COMPUTAÇÃO,B1
0263-8223,COMPOSITE STRUCTURES,CIÊNCIA DA COMPUTAÇÃO,B1
1359-8368,"COMPOSITES. PART B, ENGINEERING",CIÊNCIA DA COMPUTAÇÃO,B1
1807-0302,COMPUTATIONAL & APPLIED MATHEMATICS,CIÊNCIA DA COMPUTAÇÃO,B1
0101-8205,COMPUTATIONAL & APPLIED MATHEMATICS,CIÊNCIA DA COMPUTAÇÃO,B1
2238-3603,COMPUTATIONAL AND APPLIED MATHEMATICS,CIÊNCIA DA COMPUTAÇÃO,B1
1381-298X,COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY,CIÊNCIA DA COMPUTAÇÃO,B1
0824-7935,COMPUTATIONAL INTELLIGENCE,CIÊNCIA DA COMPUTAÇÃO,B1
1687-5265,COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,CIÊNCIA DA COMPUTAÇÃO,B1
1467-8640,COMPUTATIONAL INTELLIGENCE (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1
1749-4680,COMPUTATIONAL SCIENCE & DISCOVERY,CIÊNCIA DA COMPUTAÇÃO,B1
0943-4062,COMPUTATIONAL STATISTICS (ZEITSCHRIFT),CIÊNCIA DA COMPUTAÇÃO,B1
1061-3773,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,CIÊNCIA DA COMPUTAÇÃO,B1
0146-4833,COMPUTER COMMUNICATION REVIEW,CIÊNCIA DA COMPUTAÇÃO,B1
1477-8424,"COMPUTER LANGUAGES, SYSTEMS & STRUCTURES",CIÊNCIA DA COMPUTAÇÃO,B1
0920-5489,COMPUTER STANDARDS & INTERFACES,CIÊNCIA DA COMPUTAÇÃO,B1
0267-6192,COMPUTER SYSTEMS SCIENCE AND ENGINEERING,CIÊNCIA DA COMPUTAÇÃO,B1
0045-7906,COMPUTERS & ELECTRICAL ENGINEERING,CIÊNCIA DA COMPUTAÇÃO,B1
1544-3574,COMPUTERS IN ENTERTAINMENT,CIÊNCIA DA COMPUTAÇÃO,B1
1544-3574,COMPUTERS IN ENTERTAINMENT (CIE),CIÊNCIA DA COMPUTAÇÃO,B1
1335-9150,COMPUTING AND INFORMATICS,CIÊNCIA DA COMPUTAÇÃO,B1
1436-5057,COMPUTING (WIEN. INTERNET),CIÊNCIA DA COMPUTAÇÃO,B1
0010-485X,COMPUTING (WIEN. PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
0324-8569,CONTROL AND CYBERNETICS,CIÊNCIA DA COMPUTAÇÃO,B1
0010-938X,CORROSION SCIENCE,CIÊNCIA DA COMPUTAÇÃO,B1
0929-5585,DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B1
1572-8080,DESIGN AUTOMATION FOR EMBEDDED SYSTEMS (DORDRECHT. ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1
1051-2004,DIGITAL SIGNAL PROCESSING (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1432-0444,DISCRETE AND COMPUTATIONAL GEOMETRY (INTERNET),CIÊNCIA DA COMPUTAÇÃO,B1
1365-8050,DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1
1572-5286,DISCRETE OPTIMIZATION,CIÊNCIA DA COMPUTAÇÃO,B1
0926-8782,DISTRIBUTED AND PARALLEL DATABASES,CIÊNCIA DA COMPUTAÇÃO,B1
1573-7578,DISTRIBUTED AND PARALLEL DATABASES (DORDRECHT. ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1
1082-9873,D-LIB MAGAZINE,CIÊNCIA DA COMPUTAÇÃO,B1
1865-0481,EARTH SCIENCE INFORMATICS (INTERNET),CIÊNCIA DA COMPUTAÇÃO,B1
1865-0473,EARTH SCIENCE INFORMATICS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
0013-4686,ELECTROCHIMICA ACTA,CIÊNCIA DA COMPUTAÇÃO,B1
1382-3256,EMPIRICAL SOFTWARE ENGINEERING,CIÊNCIA DA COMPUTAÇÃO,B1
1573-7616,EMPIRICAL SOFTWARE ENGINEERING (DORDRECHT. ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1
0360-5442,ENERGY (OXFORD),CIÊNCIA DA COMPUTAÇÃO,B1
0177-0667,ENGINEERING WITH COMPUTERS,CIÊNCIA DA COMPUTAÇÃO,B1
1875-9521,ENTERTAINMENT COMPUTING,CIÊNCIA DA COMPUTAÇÃO,B1
2193-1127,EPJ DATA SCIENCE,CIÊNCIA DA COMPUTAÇÃO,B1
1687-1499,EURASIP J WIREL COMM,CIÊNCIA DA COMPUTAÇÃO,B1
1687-6180,EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1
1687-4714,"EURASIP JOURNAL ON AUDIO, SPEECH AND MUSIC PROCESSING (PRINT)",CIÊNCIA DA COMPUTAÇÃO,B1
1687-5176,EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1687-1499,EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING,CIÊNCIA DA COMPUTAÇÃO,B1
0195-6698,EUROPEAN JOURNAL OF COMBINATORICS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1864-5909,EVOLUTIONARY INTELLIGENCE (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
0934-5043,FORMAL ASPECTS OF COMPUTING,CIÊNCIA DA COMPUTAÇÃO,B1
1433-299X,FORMAL ASPECTS OF COMPUTING (INTERNET),CIÊNCIA DA COMPUTAÇÃO,B1
1551-3955,FOUNDATIONS AND TRENDS IN HUMAN-COMPUTER INTERACTION (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1554-0669,FOUNDATIONS AND TRENDS IN INFORMATION RETRIEVAL,CIÊNCIA DA COMPUTAÇÃO,B1
1389-2576,GENETIC PROGRAMMING AND EVOLVABLE MACHINES,CIÊNCIA DA COMPUTAÇÃO,B1
1389-2576,GENETIC PROGRAMMING AND EVOLVABLE MACHINES,CIÊNCIA DA COMPUTAÇÃO,B1
1384-6175,GEOINFORMATICA (DORDRECHT),CIÊNCIA DA COMPUTAÇÃO,B1
1573-7624,GEOINFORMATICA (DORDRECHT. ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1
2047-217X,GIGASCIENCE (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1
0911-0119,GRAPHS AND COMBINATORICS,CIÊNCIA DA COMPUTAÇÃO,B1
1058-6180,IEEE ANNALS OF THE HISTORY OF COMPUTING,CIÊNCIA DA COMPUTAÇÃO,B1
1932-4537,IEEE ETRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT,CIÊNCIA DA COMPUTAÇÃO,B1
1545-5971,IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,CIÊNCIA DA COMPUTAÇÃO,B1
2168-2216,"IEEE TRANSACTIONS ON SYSTEMS, MAN, AND CYBERNETICS: SYSTEMS",CIÊNCIA DA COMPUTAÇÃO,B1
2162-2337,IEEE WIRELESS COMMUNICATIONS LETTERS,CIÊNCIA DA COMPUTAÇÃO,B1
2329-9290,"IEEE/ACM TRANSACTIONS ON AUDIO, SPEECH AND LANGUAGE PROCESSING",CIÊNCIA DA COMPUTAÇÃO,B1
0916-8508,"IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS, COMMUNICATIONS AND COMPUTER SCIENCE",CIÊNCIA DA COMPUTAÇÃO,B1
0916-8532,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B1
2047-4938,IET BIOMETRICS,CIÊNCIA DA COMPUTAÇÃO,B1
1751-858X,"IET CIRCUITS, DEVICES & SYSTEMS (PRINT)",CIÊNCIA DA COMPUTAÇÃO,B1
1751-8601,IET COMPUTERS & DIGITAL TECHNIQUES (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1751-9659,IET IMAGE PROCESSING (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1751-8814,IET SOFTWARE (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1
1751-8806,IET SOFTWARE (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1648-5831,INFORMATICS IN EDUCATION,CIÊNCIA DA COMPUTAÇÃO,B1
1386-4564,INFORMATION RETRIEVAL (BOSTON),CIÊNCIA DA COMPUTAÇÃO,B1
1387-3326,INFORMATION SYSTEMS FRONTIERS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1473-8716,INFORMATION VISUALIZATION (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
0988-3754,INFORMATIQUE THÉORIQUE ET APPLICATIONS (IMPRIMÉ),CIÊNCIA DA COMPUTAÇÃO,B1
1614-5046,INNOVATIONS IN SYSTEMS AND SOFTWARE ENGINEERING (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
0167-9260,INTEGRATION (AMSTERDAM. PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1079-8587,INTELLIGENT AUTOMATION AND SOFT COMPUTING,CIÊNCIA DA COMPUTAÇÃO,B1
1088-467X,INTELLIGENT DATA ANALYSIS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1072-5520,"INTERACTIONS (NEW YORK, N.Y.)",CIÊNCIA DA COMPUTAÇÃO,B1
1729-8806,INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1560-4292,INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE IN EDUCATION (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1744-5493,INTERNATIONAL JOURNAL OF BIOINFORMATICS RESEARCH AND APPLICATIONS (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1
1744-5485,INTERNATIONAL JOURNAL OF BIOINFORMATICS RESEARCH AND APPLICATIONS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1758-0374,INTERNATIONAL JOURNAL OF BIO-INSPIRED COMPUTATION (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1
1746-0972,INTERNATIONAL JOURNAL OF BUSINESS INFORMATION SYSTEMS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1743-8187,INTERNATIONAL JOURNAL OF BUSINESS INTELLIGENCE AND DATA MINING,CIÊNCIA DA COMPUTAÇÃO,B1
1741-8763,INTERNATIONAL JOURNAL OF BUSINESS PROCESS INTEGRATION AND MANAGEMENT (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1074-5351,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B1
1099-1131,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,B1
1074-5351,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS (PRINT),CIÊNCIA DA COMPUTAÇÃO,B1
1742-7185,INTERNATIONAL JOURNAL OF COMPUTATIONAL SCIENCE AND ENGINEERING,CIÊNCIA DA COMPUTAÇÃO,B1
0952-8091,INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY,CIÊNCIA DA COMPUTAÇÃO,B1
1741-5047,INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY,CIÊNCIA DA COMPUTAÇÃO,B1
1687-7047,INTERNATIONAL JOURNAL OF COMPUTER GAMES TECHNOLOGY,CIÊNCIA DA COMPUTAÇÃO,B1
